COMPONENT,VERSION,CVE,SEVERITY,CVSS,LINK,FIXED_VERSION,ADVISORY,ADVISORY_LINK,AUDIT_RESULT,VEX_FIX_VER,JUSTIFICATION,VEX_PRODUCT
libarchive,3.5.3-6.el9_6,CVE-2026-4111,Important,7.5,https://access.redhat.com/security/cve/CVE-2026-4111,0:3.5.3-7.el9_7,,,❌ VULNERABLE,3.5.3-7.el9_7,RHACM 2.16 (RHEL 9) fix not yet released in el9_6 stream (installed 3.5.3-6.el9_6); fixed in other streams: 3.5.3-7.el9_7.,"RHEL 9 AppStream, RHEL 9 BaseOS"
libarchive,3.5.3-6.el9_6,CVE-2026-4424,Important,7.5,https://access.redhat.com/security/cve/CVE-2026-4424,0:3.5.3-7.el9_7,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
libarchive,3.5.3-6.el9_6,CVE-2026-4426,Moderate,6.5,https://access.redhat.com/security/cve/CVE-2026-4426,0:3.5.3-7.el9_7,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
libarchive,3.5.3-6.el9_6,CVE-2025-60753,Moderate,5.5,https://access.redhat.com/security/cve/CVE-2025-60753,0:3.5.3-7.el9_7,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
libarchive,3.5.3-6.el9_6,CVE-2023-30571,Moderate,5.3,https://access.redhat.com/security/cve/CVE-2023-30571,0:3.5.3-7.el9_7,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
libarchive,3.5.3-6.el9_6,CVE-2026-5121,Moderate,0.0,https://access.redhat.com/security/cve/CVE-2026-5121,0:3.5.3-7.el9_7,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
libarchive,3.5.3-6.el9_6,CVE-2025-5915,Low,6.6,https://access.redhat.com/security/cve/CVE-2025-5915,0:3.5.3-7.el9_7,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
libarchive,3.5.3-6.el9_6,CVE-2025-5916,Low,3.9,https://access.redhat.com/security/cve/CVE-2025-5916,0:3.5.3-7.el9_7,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
libarchive,3.5.3-6.el9_6,CVE-2025-5918,Low,3.9,https://access.redhat.com/security/cve/CVE-2025-5918,0:3.5.3-7.el9_7,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
libarchive,3.5.3-6.el9_6,CVE-2025-1632,Low,3.3,https://access.redhat.com/security/cve/CVE-2025-1632,0:3.5.3-7.el9_7,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
libarchive,3.5.3-6.el9_6,CVE-2025-5917,Low,2.8,https://access.redhat.com/security/cve/CVE-2025-5917,0:3.5.3-7.el9_7,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
openssh,8.7p1-47.el9_7,CVE-2026-3497,Important,8.2,https://access.redhat.com/security/cve/CVE-2026-3497,,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
openssh,8.7p1-47.el9_7,CVE-2023-51767,Moderate,7.0,https://access.redhat.com/security/cve/CVE-2023-51767,,,,❌ VULNERABLE,N/A,Confirmed affected in RHACM 2.16 (RHEL 9); no fix available yet.,RHEL 9
